Number of all enter event candidates: 8173
candidates per time window:
tw 0: 4, average value: 4.5
tw 178: 31, average value: 6.258064516129032
tw 179: 21, average value: 3.619047619047619
tw 180: 4, average value: 5.0
tw 181: 24, average value: 6.541666666666667
tw 182: 33, average value: 8.818181818181818
tw 183: 32, average value: 8.90625
tw 184: 28, average value: 8.642857142857142
tw 185: 30, average value: 8.166666666666666
tw 186: 13, average value: 4.846153846153846
tw 187: 5, average value: 7.4
tw 188: 18, average value: 10.055555555555555
tw 189: 33, average value: 8.757575757575758
tw 190: 30, average value: 8.166666666666666
tw 191: 31, average value: 8.870967741935484
tw 192: 28, average value: 8.035714285714286
tw 193: 19, average value: 3.263157894736842
tw 194: 2, average value: 5.5
tw 195: 27, average value: 6.592592592592593
tw 196: 31, average value: 9.709677419354838
tw 197: 32, average value: 7.34375
tw 198: 33, average value: 8.0
tw 199: 27, average value: 7.296296296296297
tw 200: 17, average value: 4.647058823529412
tw 201: 5, average value: 4.2
tw 202: 23, average value: 6.826086956521739
tw 203: 32, average value: 7.46875
tw 204: 29, average value: 10.89655172413793
tw 205: 29, average value: 8.379310344827585
tw 206: 24, average value: 9.25
tw 207: 15, average value: 5.066666666666666
tw 208: 5, average value: 5.8
tw 209: 27, average value: 7.0
tw 210: 31, average value: 7.032258064516129
tw 211: 30, average value: 7.2
tw 212: 30, average value: 8.466666666666667
tw 213: 29, average value: 8.0
tw 214: 19, average value: 4.315789473684211
tw 215: 4, average value: 3.0
tw 216: 26, average value: 6.3076923076923075
tw 217: 28, average value: 11.642857142857142
tw 218: 32, average value: 7.375
tw 219: 32, average value: 7.09375
tw 220: 27, average value: 9.481481481481481
tw 221: 21, average value: 4.142857142857143
tw 222: 3, average value: 3.0
tw 223: 21, average value: 6.333333333333333
tw 224: 29, average value: 8.96551724137931
tw 225: 30, average value: 8.333333333333334
tw 226: 35, average value: 7.085714285714285
tw 227: 31, average value: 7.516129032258065
tw 228: 15, average value: 4.133333333333334
tw 229: 3, average value: 12.333333333333334
tw 230: 29, average value: 7.413793103448276
tw 231: 35, average value: 8.342857142857143
tw 232: 38, average value: 7.026315789473684
tw 233: 28, average value: 6.75
tw 234: 28, average value: 7.178571428571429
tw 235: 12, average value: 4.833333333333333
tw 236: 5, average value: 4.8
tw 237: 25, average value: 7.28
tw 238: 29, average value: 8.517241379310345
tw 239: 37, average value: 7.378378378378378
tw 240: 30, average value: 6.933333333333334
tw 241: 25, average value: 7.4
tw 242: 18, average value: 3.4444444444444446
tw 243: 4, average value: 3.5
tw 244: 29, average value: 7.275862068965517
tw 245: 29, average value: 8.758620689655173
tw 246: 29, average value: 9.793103448275861
tw 247: 30, average value: 8.1
tw 248: 27, average value: 7.518518518518518
tw 249: 9, average value: 4.555555555555555
tw 250: 3, average value: 5.0
tw 251: 25, average value: 6.6
tw 252: 31, average value: 8.290322580645162
tw 253: 29, average value: 8.275862068965518
tw 254: 32, average value: 8.25
tw 255: 24, average value: 8.291666666666666
tw 256: 11, average value: 5.636363636363637
tw 257: 3, average value: 4.333333333333333
tw 258: 27, average value: 9.11111111111111
tw 259: 30, average value: 8.433333333333334
tw 260: 29, average value: 9.241379310344827
tw 261: 26, average value: 8.884615384615385
tw 262: 24, average value: 9.25
tw 263: 11, average value: 6.2727272727272725
tw 264: 4, average value: 2.25
tw 265: 29, average value: 6.0344827586206895
tw 266: 33, average value: 6.96969696969697
tw 267: 28, average value: 8.642857142857142
tw 268: 29, average value: 9.206896551724139
tw 269: 27, average value: 9.518518518518519
tw 270: 11, average value: 6.0
tw 271: 3, average value: 3.0
tw 272: 28, average value: 7.892857142857143
tw 273: 31, average value: 10.193548387096774
tw 274: 33, average value: 8.06060606060606
tw 275: 32, average value: 7.78125
tw 276: 33, average value: 5.9393939393939394
tw 277: 11, average value: 5.0
tw 278: 5, average value: 3.0
tw 279: 28, average value: 7.071428571428571
tw 280: 29, average value: 10.827586206896552
tw 281: 25, average value: 8.6
tw 282: 28, average value: 8.214285714285714
tw 283: 23, average value: 7.086956521739131
tw 284: 11, average value: 3.909090909090909
tw 285: 2, average value: 3.5
tw 286: 27, average value: 6.814814814814815
tw 287: 33, average value: 7.424242424242424
tw 288: 27, average value: 7.333333333333333
tw 289: 33, average value: 7.242424242424242
tw 290: 23, average value: 9.391304347826088
tw 291: 13, average value: 3.076923076923077
tw 292: 4, average value: 9.0
tw 293: 25, average value: 6.84
tw 294: 26, average value: 7.0
tw 295: 32, average value: 7.65625
tw 296: 32, average value: 7.84375
tw 297: 25, average value: 6.64
tw 298: 11, average value: 3.1818181818181817
tw 299: 3, average value: 5.666666666666667
tw 300: 25, average value: 6.48
tw 301: 32, average value: 7.625
tw 302: 25, average value: 8.0
tw 303: 29, average value: 8.413793103448276
tw 304: 27, average value: 7.444444444444445
tw 305: 6, average value: 3.1666666666666665
tw 306: 2, average value: 2.0
tw 307: 31, average value: 6.838709677419355
tw 308: 27, average value: 8.851851851851851
tw 309: 25, average value: 7.92
tw 310: 27, average value: 6.074074074074074
tw 311: 24, average value: 8.333333333333334
tw 312: 8, average value: 3.375
tw 313: 4, average value: 3.5
tw 314: 29, average value: 7.0
tw 315: 30, average value: 8.033333333333333
tw 316: 34, average value: 7.205882352941177
tw 317: 36, average value: 5.472222222222222
tw 318: 26, average value: 6.115384615384615
tw 319: 8, average value: 3.75
tw 320: 4, average value: 6.5
tw 321: 24, average value: 6.708333333333333
tw 322: 29, average value: 8.344827586206897
tw 323: 32, average value: 9.0
tw 324: 23, average value: 8.434782608695652
tw 325: 24, average value: 9.458333333333334
tw 326: 6, average value: 3.8333333333333335
tw 327: 4, average value: 4.0
tw 328: 25, average value: 6.24
tw 329: 26, average value: 9.461538461538462
tw 330: 26, average value: 7.0
tw 331: 33, average value: 8.515151515151516
tw 332: 34, average value: 6.705882352941177
tw 333: 7, average value: 3.5714285714285716
tw 334: 1, average value: 8.0
tw 335: 28, average value: 8.714285714285714
tw 336: 33, average value: 8.030303030303031
tw 337: 27, average value: 9.777777777777779
tw 338: 29, average value: 7.758620689655173
tw 339: 31, average value: 7.516129032258065
tw 340: 4, average value: 3.5
tw 341: 3, average value: 1.0
tw 342: 30, average value: 8.366666666666667
tw 343: 27, average value: 9.777777777777779
tw 344: 28, average value: 9.035714285714286
tw 345: 24, average value: 6.5
tw 346: 24, average value: 8.583333333333334
tw 347: 5, average value: 3.2
tw 348: 4, average value: 1.75
tw 349: 29, average value: 8.96551724137931
tw 350: 33, average value: 7.878787878787879
tw 351: 36, average value: 7.888888888888889
tw 352: 21, average value: 11.666666666666666
tw 353: 25, average value: 7.84
tw 354: 4, average value: 2.0
tw 355: 2, average value: 8.0
tw 356: 26, average value: 4.461538461538462
tw 357: 18, average value: 5.722222222222222
tw 358: 10, average value: 4.5
tw 359: 11, average value: 2.909090909090909
tw 360: 3, average value: 2.3333333333333335
tw 361: 0, average value: 0
tw 362: 2, average value: 6.5
tw 363: 5, average value: 7.2
tw 364: 9, average value: 6.666666666666667
tw 365: 4, average value: 2.0
tw 366: 2, average value: 8.0
tw 367: 1, average value: 1.0
tw 368: 0, average value: 0
tw 369: 2, average value: 16.5
tw 370: 5, average value: 7.4
tw 371: 4, average value: 6.75
tw 372: 3, average value: 6.333333333333333
tw 373: 5, average value: 5.0
tw 374: 4, average value: 8.0
tw 375: 1, average value: 4.0
tw 376: 1, average value: 2.0
tw 377: 1, average value: 2.0
tw 378: 1, average value: 1.0
tw 379: 8, average value: 2.125
tw 380: 2, average value: 1.5
tw 381: 0, average value: 0
tw 382: 1, average value: 4.0
tw 383: 0, average value: 0
tw 384: 3, average value: 5.333333333333333
tw 385: 1, average value: 1.0
tw 386: 0, average value: 0
tw 387: 0, average value: 0
tw 388: 0, average value: 0
tw 389: 1, average value: 4.0
tw 390: 1, average value: 8.0
tw 391: 1, average value: 4.0
tw 392: 0, average value: 0
tw 393: 2, average value: 7.0
tw 394: 2, average value: 7.0
tw 395: 0, average value: 0
tw 396: 0, average value: 0
tw 397: 0, average value: 0
tw 398: 0, average value: 0
tw 399: 3, average value: 8.0
tw 400: 0, average value: 0
tw 401: 1, average value: 1.0
tw 402: 1, average value: 4.0
tw 403: 0, average value: 0
tw 404: 1, average value: 3.0
tw 405: 0, average value: 0
tw 406: 1, average value: 3.0
tw 407: 0, average value: 0
tw 408: 0, average value: 0
tw 409: 2, average value: 5.0
tw 410: 0, average value: 0
tw 411: 0, average value: 0
tw 412: 0, average value: 0
tw 413: 1, average value: 6.0
tw 414: 2, average value: 5.0
tw 415: 0, average value: 0
tw 416: 0, average value: 0
tw 417: 0, average value: 0
tw 418: 0, average value: 0
tw 419: 2, average value: 2.0
tw 420: 0, average value: 0
tw 421: 0, average value: 0
tw 422: 0, average value: 0
tw 423: 0, average value: 0
tw 424: 1, average value: 2.0
tw 425: 0, average value: 0
tw 426: 1, average value: 2.0
tw 427: 0, average value: 0
tw 428: 0, average value: 0

Number of all exit event candidates: 8034
candidates per time window:
tw 0: 1, average value: 3.0
tw 1: 6, average value: 5.833333333333333
tw 2: 13, average value: 4.230769230769231
tw 3: 11, average value: 3.4545454545454546
tw 4: 15, average value: 2.8
tw 5: 0, average value: 0
tw 6: 5, average value: 4.6
tw 7: 11, average value: 6.545454545454546
tw 8: 13, average value: 2.3846153846153846
tw 9: 13, average value: 6.538461538461538
tw 10: 21, average value: 4.904761904761905
tw 11: 6, average value: 2.1666666666666665
tw 12: 0, average value: 0
tw 13: 11, average value: 3.8181818181818183
tw 14: 15, average value: 4.133333333333334
tw 15: 17, average value: 6.9411764705882355
tw 16: 16, average value: 4.6875
tw 17: 19, average value: 6.631578947368421
tw 18: 11, average value: 4.0
tw 19: 1, average value: 2.0
tw 20: 11, average value: 2.8181818181818183
tw 21: 16, average value: 4.625
tw 22: 16, average value: 5.5625
tw 23: 26, average value: 3.5
tw 24: 28, average value: 3.107142857142857
tw 25: 9, average value: 3.6666666666666665
tw 26: 0, average value: 0
tw 27: 18, average value: 4.777777777777778
tw 28: 15, average value: 6.733333333333333
tw 29: 23, average value: 6.3478260869565215
tw 30: 28, average value: 7.5
tw 31: 32, average value: 8.9375
tw 32: 20, average value: 4.35
tw 33: 0, average value: 0
tw 34: 23, average value: 5.869565217391305
tw 35: 26, average value: 7.384615384615385
tw 36: 28, average value: 9.928571428571429
tw 37: 29, average value: 7.793103448275862
tw 38: 24, average value: 8.291666666666666
tw 39: 25, average value: 4.72
tw 40: 0, average value: 0
tw 41: 15, average value: 4.466666666666667
tw 42: 29, average value: 10.620689655172415
tw 43: 25, average value: 10.24
tw 44: 32, average value: 7.3125
tw 45: 26, average value: 10.76923076923077
tw 46: 18, average value: 5.5
tw 47: 0, average value: 0
tw 48: 21, average value: 5.095238095238095
tw 49: 29, average value: 8.0
tw 50: 34, average value: 10.735294117647058
tw 51: 26, average value: 9.346153846153847
tw 52: 27, average value: 8.851851851851851
tw 53: 24, average value: 5.416666666666667
tw 54: 5, average value: 3.2
tw 55: 19, average value: 6.2631578947368425
tw 56: 38, average value: 9.342105263157896
tw 57: 33, average value: 9.515151515151516
tw 58: 39, average value: 8.23076923076923
tw 59: 23, average value: 9.521739130434783
tw 60: 19, average value: 5.105263157894737
tw 61: 2, average value: 1.0
tw 62: 20, average value: 6.45
tw 63: 27, average value: 9.37037037037037
tw 64: 24, average value: 6.541666666666667
tw 65: 26, average value: 9.5
tw 66: 28, average value: 8.642857142857142
tw 67: 24, average value: 4.5
tw 68: 3, average value: 5.0
tw 69: 20, average value: 5.7
tw 70: 32, average value: 8.09375
tw 71: 29, average value: 9.758620689655173
tw 72: 27, average value: 7.592592592592593
tw 73: 27, average value: 8.481481481481481
tw 74: 22, average value: 4.5
tw 75: 2, average value: 2.5
tw 76: 25, average value: 6.16
tw 77: 31, average value: 7.483870967741935
tw 78: 29, average value: 9.10344827586207
tw 79: 32, average value: 9.5625
tw 80: 27, average value: 8.62962962962963
tw 81: 17, average value: 6.764705882352941
tw 82: 2, average value: 3.5
tw 83: 23, average value: 6.608695652173913
tw 84: 28, average value: 9.25
tw 85: 30, average value: 10.133333333333333
tw 86: 31, average value: 8.838709677419354
tw 87: 30, average value: 8.0
tw 88: 15, average value: 6.333333333333333
tw 89: 7, average value: 3.142857142857143
tw 90: 26, average value: 5.076923076923077
tw 91: 32, average value: 8.125
tw 92: 28, average value: 9.107142857142858
tw 93: 29, average value: 6.827586206896552
tw 94: 27, average value: 7.7407407407407405
tw 95: 17, average value: 4.235294117647059
tw 96: 4, average value: 7.75
tw 97: 20, average value: 5.9
tw 98: 27, average value: 8.37037037037037
tw 99: 34, average value: 9.0
tw 100: 29, average value: 10.172413793103448
tw 101: 31, average value: 7.161290322580645
tw 102: 20, average value: 5.2
tw 103: 0, average value: 0
tw 104: 30, average value: 4.7
tw 105: 32, average value: 9.96875
tw 106: 35, average value: 7.057142857142857
tw 107: 29, average value: 8.413793103448276
tw 108: 26, average value: 8.346153846153847
tw 109: 24, average value: 6.083333333333333
tw 110: 1, average value: 9.0
tw 111: 30, average value: 5.733333333333333
tw 112: 35, average value: 10.257142857142858
tw 113: 31, average value: 8.548387096774194
tw 114: 26, average value: 8.923076923076923
tw 115: 31, average value: 7.387096774193548
tw 116: 20, average value: 7.15
tw 117: 3, average value: 3.3333333333333335
tw 118: 31, average value: 4.741935483870968
tw 119: 31, average value: 5.709677419354839
tw 120: 31, average value: 6.774193548387097
tw 121: 26, average value: 8.038461538461538
tw 122: 27, average value: 9.037037037037036
tw 123: 18, average value: 4.166666666666667
tw 124: 5, average value: 3.0
tw 125: 25, average value: 4.48
tw 126: 28, average value: 7.214285714285714
tw 127: 33, average value: 8.93939393939394
tw 128: 35, average value: 7.6571428571428575
tw 129: 32, average value: 5.9375
tw 130: 25, average value: 4.52
tw 131: 3, average value: 3.0
tw 132: 29, average value: 4.103448275862069
tw 133: 33, average value: 7.7272727272727275
tw 134: 34, average value: 9.264705882352942
tw 135: 30, average value: 7.766666666666667
tw 136: 27, average value: 7.518518518518518
tw 137: 17, average value: 6.235294117647059
tw 138: 4, average value: 4.0
tw 139: 20, average value: 6.6
tw 140: 29, average value: 6.896551724137931
tw 141: 34, average value: 9.441176470588236
tw 142: 33, average value: 6.96969696969697
tw 143: 32, average value: 7.90625
tw 144: 24, average value: 4.291666666666667
tw 145: 0, average value: 0
tw 146: 20, average value: 7.3
tw 147: 28, average value: 8.428571428571429
tw 148: 28, average value: 8.464285714285714
tw 149: 35, average value: 6.4
tw 150: 30, average value: 10.5
tw 151: 24, average value: 6.083333333333333
tw 152: 3, average value: 2.3333333333333335
tw 153: 29, average value: 7.517241379310345
tw 154: 36, average value: 10.277777777777779
tw 155: 35, average value: 9.6
tw 156: 21, average value: 12.095238095238095
tw 157: 23, average value: 10.304347826086957
tw 158: 19, average value: 5.2105263157894735
tw 159: 6, average value: 4.166666666666667
tw 160: 26, average value: 8.192307692307692
tw 161: 32, average value: 9.625
tw 162: 33, average value: 8.606060606060606
tw 163: 30, average value: 10.133333333333333
tw 164: 25, average value: 8.28
tw 165: 13, average value: 4.846153846153846
tw 166: 0, average value: 0
tw 167: 24, average value: 6.416666666666667
tw 168: 28, average value: 10.464285714285714
tw 169: 33, average value: 9.151515151515152
tw 170: 33, average value: 10.181818181818182
tw 171: 26, average value: 7.230769230769231
tw 172: 21, average value: 4.523809523809524
tw 173: 3, average value: 3.3333333333333335
tw 174: 21, average value: 6.380952380952381
tw 175: 29, average value: 7.689655172413793
tw 176: 28, average value: 8.035714285714286
tw 177: 30, average value: 7.666666666666667
tw 178: 26, average value: 7.076923076923077
tw 179: 17, average value: 3.8823529411764706
tw 180: 3, average value: 6.0
tw 181: 26, average value: 5.5
tw 182: 32, average value: 9.40625
tw 183: 29, average value: 9.655172413793103
tw 184: 30, average value: 8.366666666666667
tw 185: 29, average value: 8.344827586206897
tw 186: 12, average value: 5.25
tw 187: 4, average value: 8.25
tw 188: 22, average value: 7.409090909090909
tw 189: 30, average value: 9.7
tw 190: 32, average value: 7.625
tw 191: 30, average value: 9.4
tw 192: 27, average value: 8.148148148148149
tw 193: 17, average value: 3.3529411764705883
tw 194: 2, average value: 4.0
tw 195: 29, average value: 6.0
tw 196: 31, average value: 9.161290322580646
tw 197: 29, average value: 8.10344827586207
tw 198: 33, average value: 8.393939393939394
tw 199: 29, average value: 7.482758620689655
tw 200: 16, average value: 4.5
tw 201: 4, average value: 4.25
tw 202: 23, average value: 6.608695652173913
tw 203: 30, average value: 8.166666666666666
tw 204: 30, average value: 10.9
tw 205: 32, average value: 8.3125
tw 206: 23, average value: 8.826086956521738
tw 207: 13, average value: 4.846153846153846
tw 208: 3, average value: 8.333333333333334
tw 209: 29, average value: 6.896551724137931
tw 210: 26, average value: 8.653846153846153
tw 211: 32, average value: 6.4375
tw 212: 29, average value: 10.068965517241379
tw 213: 26, average value: 8.153846153846153
tw 214: 16, average value: 4.5
tw 215: 4, average value: 1.5
tw 216: 28, average value: 6.107142857142857
tw 217: 30, average value: 10.666666666666666
tw 218: 33, average value: 7.454545454545454
tw 219: 32, average value: 6.59375
tw 220: 29, average value: 8.655172413793103
tw 221: 18, average value: 4.722222222222222
tw 222: 3, average value: 1.3333333333333333
tw 223: 20, average value: 6.65
tw 224: 27, average value: 9.222222222222221
tw 225: 31, average value: 8.064516129032258
tw 226: 31, average value: 7.870967741935484
tw 227: 30, average value: 7.633333333333334
tw 228: 19, average value: 3.210526315789474
tw 229: 6, average value: 5.333333333333333
tw 230: 30, average value: 7.833333333333333
tw 231: 30, average value: 10.466666666666667
tw 232: 37, average value: 7.378378378378378
tw 233: 32, average value: 6.0625
tw 234: 23, average value: 8.217391304347826
tw 235: 10, average value: 5.6
tw 236: 2, average value: 10.0
tw 237: 30, average value: 6.333333333333333
tw 238: 28, average value: 10.0
tw 239: 33, average value: 7.696969696969697
tw 240: 33, average value: 7.0
tw 241: 23, average value: 8.043478260869565
tw 242: 18, average value: 3.5
tw 243: 2, average value: 3.5
tw 244: 31, average value: 6.774193548387097
tw 245: 31, average value: 7.548387096774194
tw 246: 29, average value: 9.310344827586206
tw 247: 29, average value: 8.862068965517242
tw 248: 26, average value: 8.461538461538462
tw 249: 9, average value: 2.888888888888889
tw 250: 2, average value: 5.5
tw 251: 27, average value: 6.185185185185185
tw 252: 29, average value: 8.517241379310345
tw 253: 29, average value: 9.172413793103448
tw 254: 33, average value: 8.545454545454545
tw 255: 23, average value: 8.173913043478262
tw 256: 13, average value: 5.0
tw 257: 0, average value: 0
tw 258: 25, average value: 10.52
tw 259: 30, average value: 9.066666666666666
tw 260: 31, average value: 8.161290322580646
tw 261: 27, average value: 8.11111111111111
tw 262: 23, average value: 10.217391304347826
tw 263: 10, average value: 5.9
tw 264: 1, average value: 5.0
tw 265: 27, average value: 6.444444444444445
tw 266: 36, average value: 7.166666666666667
tw 267: 29, average value: 7.517241379310345
tw 268: 27, average value: 10.037037037037036
tw 269: 25, average value: 9.64
tw 270: 9, average value: 5.888888888888889
tw 271: 0, average value: 0
tw 272: 25, average value: 8.44
tw 273: 29, average value: 10.620689655172415
tw 274: 32, average value: 8.71875
tw 275: 31, average value: 7.870967741935484
tw 276: 30, average value: 7.1
tw 277: 14, average value: 2.7142857142857144
tw 278: 2, average value: 5.0
tw 279: 30, average value: 6.866666666666666
tw 280: 31, average value: 10.774193548387096
tw 281: 27, average value: 7.703703703703703
tw 282: 26, average value: 9.26923076923077
tw 283: 25, average value: 6.84
tw 284: 11, average value: 3.1818181818181817
tw 285: 2, average value: 2.5
tw 286: 29, average value: 7.172413793103448
tw 287: 37, average value: 6.837837837837838
tw 288: 27, average value: 7.925925925925926
tw 289: 34, average value: 7.264705882352941
tw 290: 22, average value: 9.409090909090908
tw 291: 7, average value: 6.0
tw 292: 3, average value: 11.0
tw 293: 25, average value: 7.2
tw 294: 26, average value: 7.615384615384615
tw 295: 32, average value: 7.875
tw 296: 30, average value: 8.166666666666666
tw 297: 25, average value: 6.8
tw 298: 14, average value: 2.7857142857142856
tw 299: 3, average value: 4.0
tw 300: 28, average value: 5.964285714285714
tw 301: 30, average value: 8.466666666666667
tw 302: 22, average value: 8.454545454545455
tw 303: 31, average value: 7.774193548387097
tw 304: 29, average value: 7.379310344827586
tw 305: 5, average value: 1.6
tw 306: 0, average value: 0
tw 307: 29, average value: 6.931034482758621
tw 308: 23, average value: 10.391304347826088
tw 309: 26, average value: 7.8076923076923075
tw 310: 26, average value: 6.923076923076923
tw 311: 22, average value: 7.7272727272727275
tw 312: 7, average value: 3.7142857142857144
tw 313: 2, average value: 6.0
tw 314: 28, average value: 7.178571428571429
tw 315: 32, average value: 7.15625
tw 316: 34, average value: 7.4411764705882355
tw 317: 35, average value: 6.057142857142857
tw 318: 27, average value: 5.148148148148148
tw 319: 3, average value: 8.666666666666666
tw 320: 3, average value: 5.666666666666667
tw 321: 24, average value: 6.791666666666667
tw 322: 28, average value: 7.892857142857143
tw 323: 34, average value: 9.117647058823529
tw 324: 23, average value: 8.652173913043478
tw 325: 25, average value: 8.84
