Number of all enter event candidates: 8891
candidates per time window:
tw 0: 1, average value: 5.0
tw 358: 4, average value: 2.75
tw 359: 18, average value: 2.8333333333333335
tw 360: 13, average value: 3.769230769230769
tw 361: 9, average value: 2.2222222222222223
tw 362: 10, average value: 3.0
tw 363: 16, average value: 3.5
tw 364: 10, average value: 2.2
tw 365: 4, average value: 2.5
tw 366: 13, average value: 3.3076923076923075
tw 367: 13, average value: 2.3076923076923075
tw 368: 11, average value: 3.1818181818181817
tw 369: 8, average value: 2.625
tw 370: 11, average value: 2.0
tw 371: 10, average value: 1.7
tw 372: 4, average value: 1.75
tw 373: 14, average value: 3.142857142857143
tw 374: 8, average value: 5.0
tw 375: 11, average value: 5.0
tw 376: 12, average value: 4.75
tw 377: 10, average value: 4.8
tw 378: 8, average value: 3.375
tw 379: 1, average value: 1.0
tw 380: 8, average value: 2.75
tw 381: 14, average value: 3.357142857142857
tw 382: 11, average value: 2.727272727272727
tw 383: 9, average value: 2.2222222222222223
tw 384: 8, average value: 1.875
tw 385: 6, average value: 1.6666666666666667
tw 386: 3, average value: 2.0
tw 387: 11, average value: 2.6363636363636362
tw 388: 5, average value: 1.6
tw 389: 9, average value: 2.4444444444444446
tw 390: 9, average value: 1.6666666666666667
tw 391: 9, average value: 1.5555555555555556
tw 392: 9, average value: 1.8888888888888888
tw 393: 4, average value: 1.5
tw 394: 10, average value: 4.0
tw 395: 9, average value: 1.8888888888888888
tw 396: 4, average value: 2.25
tw 397: 10, average value: 2.0
tw 398: 6, average value: 2.5
tw 399: 8, average value: 1.5
tw 400: 4, average value: 2.0
tw 401: 10, average value: 3.6
tw 402: 10, average value: 3.7
tw 403: 13, average value: 2.230769230769231
tw 404: 18, average value: 2.5555555555555554
tw 405: 16, average value: 2.5
tw 406: 7, average value: 2.2857142857142856
tw 407: 2, average value: 1.0
tw 408: 12, average value: 1.75
tw 409: 6, average value: 2.1666666666666665
tw 410: 11, average value: 2.8181818181818183
tw 411: 9, average value: 2.5555555555555554
tw 412: 12, average value: 2.1666666666666665
tw 413: 8, average value: 2.0
tw 414: 4, average value: 1.75
tw 415: 19, average value: 4.421052631578948
tw 416: 9, average value: 3.0
tw 417: 13, average value: 4.230769230769231
tw 418: 15, average value: 3.8666666666666667
tw 419: 11, average value: 3.6363636363636362
tw 420: 4, average value: 2.0
tw 421: 5, average value: 3.0
tw 422: 17, average value: 4.529411764705882
tw 423: 12, average value: 3.4166666666666665
tw 424: 13, average value: 2.1538461538461537
tw 425: 13, average value: 2.4615384615384617
tw 426: 11, average value: 3.0
tw 427: 6, average value: 2.0
tw 428: 3, average value: 1.3333333333333333
tw 429: 14, average value: 3.357142857142857
tw 430: 10, average value: 2.8
tw 431: 8, average value: 3.0
tw 432: 8, average value: 3.75
tw 433: 12, average value: 3.5833333333333335
tw 434: 8, average value: 3.875
tw 435: 3, average value: 5.333333333333333
tw 436: 10, average value: 3.9
tw 437: 13, average value: 3.0
tw 438: 11, average value: 2.1818181818181817
tw 439: 7, average value: 3.7142857142857144
tw 440: 8, average value: 2.25
tw 441: 4, average value: 1.25
tw 442: 4, average value: 2.5
tw 443: 9, average value: 2.6666666666666665
tw 444: 12, average value: 3.1666666666666665
tw 445: 4, average value: 3.75
tw 446: 9, average value: 1.8888888888888888
tw 447: 10, average value: 1.8
tw 448: 7, average value: 1.5714285714285714
tw 449: 4, average value: 1.75
tw 450: 10, average value: 4.1
tw 451: 13, average value: 3.6923076923076925
tw 452: 12, average value: 3.5833333333333335
tw 453: 14, average value: 2.642857142857143
tw 454: 14, average value: 2.7857142857142856
tw 455: 10, average value: 3.2
tw 456: 5, average value: 1.4
tw 457: 11, average value: 3.272727272727273
tw 458: 7, average value: 3.7142857142857144
tw 459: 10, average value: 4.2
tw 460: 15, average value: 2.8
tw 461: 13, average value: 3.6923076923076925
tw 462: 5, average value: 1.6
tw 463: 5, average value: 1.2
tw 464: 12, average value: 2.8333333333333335
tw 465: 6, average value: 2.8333333333333335
tw 466: 5, average value: 1.8
tw 467: 5, average value: 1.6
tw 468: 8, average value: 2.75
tw 469: 8, average value: 1.75
tw 470: 6, average value: 2.0
tw 471: 14, average value: 1.7857142857142858
tw 472: 13, average value: 3.0
tw 473: 15, average value: 2.933333333333333
tw 474: 15, average value: 2.6
tw 475: 9, average value: 2.2222222222222223
tw 476: 8, average value: 3.0
tw 477: 2, average value: 1.5
tw 478: 11, average value: 3.090909090909091
tw 479: 10, average value: 3.2
tw 480: 11, average value: 2.090909090909091
tw 481: 9, average value: 3.3333333333333335
tw 482: 9, average value: 3.111111111111111
tw 483: 7, average value: 2.4285714285714284
tw 484: 3, average value: 1.0
tw 485: 11, average value: 3.6363636363636362
tw 486: 10, average value: 4.5
tw 487: 6, average value: 5.166666666666667
tw 488: 12, average value: 3.3333333333333335
tw 489: 13, average value: 3.3846153846153846
tw 490: 7, average value: 2.142857142857143
tw 491: 5, average value: 1.8
tw 492: 12, average value: 5.416666666666667
tw 493: 11, average value: 2.6363636363636362
tw 494: 9, average value: 3.7777777777777777
tw 495: 7, average value: 2.2857142857142856
tw 496: 9, average value: 1.4444444444444444
tw 497: 8, average value: 2.5
tw 498: 4, average value: 2.25
tw 499: 9, average value: 3.0
tw 500: 10, average value: 3.2
tw 501: 10, average value: 2.3
tw 502: 12, average value: 3.0
tw 503: 12, average value: 2.5833333333333335
tw 504: 6, average value: 3.1666666666666665
tw 505: 5, average value: 2.0
tw 506: 12, average value: 3.0
tw 507: 19, average value: 2.473684210526316
tw 508: 12, average value: 3.0
tw 509: 16, average value: 3.25
tw 510: 13, average value: 3.3846153846153846
tw 511: 9, average value: 2.0
tw 512: 3, average value: 1.6666666666666667
tw 513: 12, average value: 4.75
tw 514: 10, average value: 5.0
tw 515: 11, average value: 2.5454545454545454
tw 516: 13, average value: 2.3076923076923075
tw 517: 13, average value: 1.8461538461538463
tw 518: 9, average value: 2.5555555555555554
tw 519: 3, average value: 1.3333333333333333
tw 520: 12, average value: 5.333333333333333
tw 521: 9, average value: 3.6666666666666665
tw 522: 12, average value: 2.6666666666666665
tw 523: 17, average value: 3.2941176470588234
tw 524: 15, average value: 3.6666666666666665
tw 525: 7, average value: 3.0
tw 526: 6, average value: 2.0
tw 527: 17, average value: 5.411764705882353
tw 528: 14, average value: 4.714285714285714
tw 529: 12, average value: 2.75
tw 530: 12, average value: 4.333333333333333
tw 531: 15, average value: 5.0
tw 532: 8, average value: 4.5
tw 533: 5, average value: 4.6
tw 534: 12, average value: 4.5
tw 535: 12, average value: 4.166666666666667
tw 536: 13, average value: 4.0
tw 537: 12, average value: 5.916666666666667
tw 538: 9, average value: 5.0
tw 539: 5, average value: 4.8
tw 540: 6, average value: 2.6666666666666665
tw 541: 10, average value: 3.8
tw 542: 13, average value: 5.0
tw 543: 13, average value: 3.6153846153846154
tw 544: 12, average value: 3.8333333333333335
tw 545: 14, average value: 2.9285714285714284
tw 546: 5, average value: 2.0
tw 547: 6, average value: 5.5
tw 548: 9, average value: 3.0
tw 549: 12, average value: 2.5833333333333335
tw 550: 9, average value: 3.111111111111111
tw 551: 11, average value: 2.272727272727273
tw 552: 12, average value: 2.0833333333333335
tw 553: 6, average value: 2.1666666666666665
tw 554: 8, average value: 1.875
tw 555: 10, average value: 4.1
tw 556: 9, average value: 2.0
tw 557: 6, average value: 1.6666666666666667
tw 558: 5, average value: 3.0
tw 559: 12, average value: 2.75
tw 560: 9, average value: 2.4444444444444446
tw 561: 1, average value: 4.0
tw 562: 14, average value: 4.714285714285714
tw 563: 8, average value: 2.125
tw 564: 2, average value: 2.0
tw 565: 11, average value: 2.272727272727273
tw 566: 6, average value: 2.8333333333333335
tw 567: 7, average value: 1.7142857142857142
tw 568: 6, average value: 1.5
tw 569: 8, average value: 2.125
tw 570: 7, average value: 2.142857142857143
tw 571: 6, average value: 1.8333333333333333
tw 572: 8, average value: 2.25
tw 573: 16, average value: 2.5625
tw 574: 8, average value: 1.625
tw 575: 1, average value: 2.0
tw 576: 13, average value: 3.3846153846153846
tw 577: 6, average value: 2.1666666666666665
tw 578: 10, average value: 2.8
tw 579: 11, average value: 2.6363636363636362
tw 580: 9, average value: 2.6666666666666665
tw 581: 5, average value: 2.0
tw 582: 4, average value: 1.25
tw 583: 9, average value: 3.4444444444444446
tw 584: 13, average value: 2.8461538461538463
tw 585: 15, average value: 2.6
tw 586: 13, average value: 3.6923076923076925
tw 587: 13, average value: 3.0
tw 588: 7, average value: 1.4285714285714286
tw 589: 7, average value: 1.4285714285714286
tw 590: 9, average value: 3.3333333333333335
tw 591: 15, average value: 3.2666666666666666
tw 592: 12, average value: 2.3333333333333335
tw 593: 15, average value: 2.7333333333333334
tw 594: 11, average value: 2.8181818181818183
tw 595: 6, average value: 2.1666666666666665
tw 596: 2, average value: 2.5
tw 597: 12, average value: 5.0
tw 598: 13, average value: 3.5384615384615383
tw 599: 14, average value: 4.214285714285714
tw 600: 16, average value: 2.625
tw 601: 20, average value: 3.05
tw 602: 8, average value: 3.5
tw 603: 4, average value: 1.0
tw 604: 19, average value: 4.157894736842105
tw 605: 16, average value: 3.625
tw 606: 9, average value: 3.4444444444444446
tw 607: 10, average value: 2.3
tw 608: 11, average value: 3.727272727272727
tw 609: 6, average value: 3.0
tw 610: 5, average value: 2.0
tw 611: 14, average value: 4.857142857142857
tw 612: 14, average value: 3.5
tw 613: 11, average value: 3.3636363636363638
tw 614: 12, average value: 3.6666666666666665
tw 615: 16, average value: 3.6875
tw 616: 9, average value: 2.4444444444444446
tw 617: 10, average value: 2.3
tw 618: 19, average value: 3.6315789473684212
tw 619: 13, average value: 5.461538461538462
tw 620: 17, average value: 3.6470588235294117
tw 621: 13, average value: 3.076923076923077
tw 622: 11, average value: 2.5454545454545454
tw 623: 6, average value: 3.0
tw 624: 3, average value: 1.3333333333333333
tw 625: 14, average value: 4.142857142857143
tw 626: 10, average value: 2.2
tw 627: 12, average value: 2.25
tw 628: 13, average value: 2.6153846153846154
tw 629: 13, average value: 3.3076923076923075
tw 630: 5, average value: 1.0
tw 631: 9, average value: 1.7777777777777777
tw 632: 12, average value: 3.5
tw 633: 10, average value: 5.3
tw 634: 13, average value: 3.0
tw 635: 16, average value: 4.1875
tw 636: 16, average value: 2.9375
tw 637: 8, average value: 1.875
tw 638: 10, average value: 2.2
tw 639: 13, average value: 4.153846153846154
tw 640: 12, average value: 3.75
tw 641: 13, average value: 3.769230769230769
tw 642: 14, average value: 3.7857142857142856
tw 643: 13, average value: 4.153846153846154
tw 644: 10, average value: 3.6
tw 645: 10, average value: 4.2
tw 646: 14, average value: 4.0
tw 647: 7, average value: 3.5714285714285716
tw 648: 10, average value: 2.8
tw 649: 15, average value: 2.0
tw 650: 7, average value: 3.142857142857143
tw 651: 4, average value: 2.25
tw 652: 7, average value: 2.4285714285714284
tw 653: 8, average value: 3.125
tw 654: 8, average value: 3.5
tw 655: 3, average value: 1.3333333333333333
tw 656: 10, average value: 3.5
tw 657: 5, average value: 3.0
tw 658: 7, average value: 3.0
tw 659: 8, average value: 1.875
tw 660: 12, average value: 4.416666666666667
tw 661: 13, average value: 3.4615384615384617
tw 662: 12, average value: 2.9166666666666665
tw 663: 12, average value: 3.9166666666666665
tw 664: 11, average value: 2.4545454545454546
tw 665: 6, average value: 2.1666666666666665
tw 666: 7, average value: 3.142857142857143
tw 667: 10, average value: 3.0
tw 668: 10, average value: 3.2
tw 669: 4, average value: 2.5
tw 670: 7, average value: 1.8571428571428572
tw 671: 9, average value: 2.3333333333333335
tw 672: 6, average value: 2.5
tw 673: 9, average value: 2.0
tw 674: 16, average value: 4.0625
tw 675: 15, average value: 3.4
tw 676: 8, average value: 2.625
tw 677: 11, average value: 3.5454545454545454
tw 678: 4, average value: 2.25
tw 679: 5, average value: 2.4
tw 680: 8, average value: 2.125
tw 681: 14, average value: 3.2142857142857144
tw 682: 14, average value: 4.785714285714286
tw 683: 10, average value: 3.8
tw 684: 14, average value: 2.9285714285714284
tw 685: 11, average value: 3.1818181818181817
tw 686: 7, average value: 2.0
tw 687: 5, average value: 3.0
tw 688: 11, average value: 2.3636363636363638
tw 689: 15, average value: 2.466666666666667
tw 690: 13, average value: 3.6153846153846154
tw 691: 12, average value: 2.4166666666666665
tw 692: 12, average value: 2.9166666666666665
tw 693: 5, average value: 2.2
tw 694: 9, average value: 2.0
tw 695: 10, average value: 4.8
tw 696: 14, average value: 3.642857142857143
tw 697: 9, average value: 3.7777777777777777
tw 698: 16, average value: 3.125
tw 699: 8, average value: 4.25
tw 700: 8, average value: 3.0
tw 701: 9, average value: 4.0
tw 702: 8, average value: 5.125
tw 703: 10, average value: 4.0
tw 704: 15, average value: 3.8
tw 705: 14, average value: 3.2142857142857144
tw 706: 9, average value: 3.2222222222222223
tw 707: 6, average value: 2.0
tw 708: 10, average value: 2.6
tw 709: 15, average value: 3.533333333333333
tw 710: 14, average value: 3.5
tw 711: 10, average value: 3.5
tw 712: 14, average value: 2.357142857142857
tw 713: 8, average value: 1.625
tw 714: 4, average value: 1.25
tw 715: 8, average value: 1.625
tw 716: 8, average value: 2.125
tw 717: 8, average value: 2.125
tw 718: 12, average value: 1.8333333333333333
tw 719: 7, average value: 2.0
tw 720: 6, average value: 2.1666666666666665
tw 721: 3, average value: 1.6666666666666667
tw 722: 8, average value: 2.375
tw 723: 11, average value: 2.272727272727273
tw 724: 11, average value: 1.8181818181818181
tw 725: 13, average value: 2.923076923076923
tw 726: 9, average value: 1.7777777777777777
tw 727: 5, average value: 1.4
tw 728: 5, average value: 2.0
tw 729: 7, average value: 1.4285714285714286
tw 730: 10, average value: 2.5
tw 731: 9, average value: 2.2222222222222223
tw 732: 13, average value: 2.6153846153846154
tw 733: 9, average value: 2.3333333333333335
tw 734: 8, average value: 3.375
tw 735: 5, average value: 1.8
tw 736: 5, average value: 6.6
tw 737: 5, average value: 3.0
tw 738: 12, average value: 1.75
tw 739: 8, average value: 3.5
tw 740: 12, average value: 3.0
tw 741: 7, average value: 3.0
tw 742: 5, average value: 1.2
tw 743: 4, average value: 1.75
tw 744: 14, average value: 2.857142857142857
tw 745: 10, average value: 3.4
tw 746: 16, average value: 2.5625
tw 747: 11, average value: 3.272727272727273
tw 748: 9, average value: 2.3333333333333335
tw 749: 7, average value: 2.142857142857143
tw 750: 10, average value: 2.8
tw 751: 17, average value: 2.9411764705882355
tw 752: 7, average value: 4.285714285714286
tw 753: 14, average value: 3.5714285714285716
tw 754: 14, average value: 3.5
tw 755: 8, average value: 3.125
tw 756: 8, average value: 1.75
tw 757: 12, average value: 2.5833333333333335
tw 758: 9, average value: 1.6666666666666667
